group_id,participant_id,fidelity_c1,fidelity_c2,fidelity_c3,fidelity_c4
G01,P001,4.0,3.0,3.0,10.0
G01,P002,4.0,4.0,3.0,11.0
G01,P003,4.0,4.0,3.0,11.0
G01,P004,4.0,2.0,3.0,9.0
G02,P005,4.0,1.0,2.0,7.0
G02,P006,4.0,1.0,2.0,7.0
G02,P007,4.0,1.0,2.0,7.0
G03,P008,3.0,4.0,3.0,10.0
G03,P009,4.0,4.0,2.0,10.0
G03,P010,3.0,4.0,4.0,11.0
G04,P011,4.0,1.0,2.0,7.0
G04,P012,3.0,2.0,3.0,8.0
G04,P013,,,,
G04,P014,2.0,2.0,2.0,6.0
G05,P015,3.0,3.0,4.0,10.0
G05,P016,4.0,1.0,2.0,7.0
G05,P017,3.0,3.0,3.0,9.0
G05,P018,1.0,2.0,1.0,4.0
G06,P019,4.0,4.0,2.0,10.0
G06,P020,4.0,4.0,3.0,11.0
G06,P021,2.0,3.0,2.0,7.0
G07,P022,2.0,1.0,3.0,6.0
G07,P023,4.0,2.0,4.0,10.0
G07,P024,3.0,3.0,1.0,7.0
G07,P025,2.0,2.0,2.0,6.0
G08,P026,4.0,4.0,2.0,10.0
G08,P027,3.0,3.0,2.0,8.0
G08,P028,2.0,1.0,2.0,5.0
G08,P029,3.0,4.0,1.0,8.0
