team_id,total_score_10,score_completeness_5,score_coherence_correctness_3_5,score_clarity_1_5,penalty_completeness,penalty_coherence_correctness,penalty_clarity
T01,8.25,4.15,2.6,1.5,0.85,0.9,0
T02,8.15,3.7,3.05,1.4,1.3,0.45,0.1
T03,8.2,4.1,2.6,1.5,0.9,0.9,0
T04,7.5,4.2,1.8,1.5,0.8,1.7,0
T05,6.7,3.55,1.65,1.5,1.45,1.85,0
T06,7.05,2.75,2.8,1.5,2.25,0.7,0
T07,5.3,0.6,3.2,1.5,4.4,0.3,0
T08,6.6,2.35,2.9,1.35,2.65,0.6,0.15
T01,7.65,4.15,2.6,0.9,0.85,0.9,0.6
T02,8,4.3,2.9,0.8,1.3,0.7,0
T03,7.25,4,2.6,0.65,1,0.9,0.85
T04,8,4.4,2.75,0.85,1.75,0.1,0.15
T05,6.1,3.4,2.1,0.6,1.6,1.4,0.9
T06,6.95,4.2,2.2,0.55,0.8,1.3,0.95
T07,6.6,3.9,2.25,0.45,1.1,1.25,1.05
T08,6.2,3.5,2.15,0.55,1.8,1.55,0.45
T09,6.75,3.85,2.35,0.55,1.15,1.15,0.95
