team_id,participant_id,sfi_rating_1_4,rater
T01,P001,4,Rater_A
T01,P002,3,Rater_A
T01,P003,4,Rater_A
T01,P004,4,Rater_A
T02,P005,4,Rater_A
T02,P006,4,Rater_A
T02,P007,4,Rater_A
T03,P008,4,Rater_A
T03,P009,4,Rater_A
T03,P010,3,Rater_A
T04,P011,1,Rater_A
T04,P012,4,Rater_A
T04,P013,2,Rater_A
T05,P014,1,Rater_A
T05,P015,1,Rater_A
T05,P016,4,Rater_A
T05,P017,4,Rater_A
T06,P018,2,Rater_A
T06,P020,4,Rater_A
T07,P021,4,Rater_A
T07,P022,1,Rater_A
T07,P023,4,Rater_A
T07,P024,4,Rater_A
T08,P025,3,Rater_A
T08,P026,1,Rater_A
T08,P027,4,Rater_A
T08,P028,4,Rater_A
T01,P001,4,Rater_B
T01,P002,3,Rater_B
T01,P003,4,Rater_B
T01,P004,4,Rater_B
T02,P005,4,Rater_B
T02,P006,4,Rater_B
T03,P008,4,Rater_B
T03,P009,3,Rater_B
T03,P010,3,Rater_B
T04,P011,1,Rater_B
T04,P012,4,Rater_B
T04,P013,1,Rater_B
T05,P014,1,Rater_B
T05,P015,1,Rater_B
T05,P016,4,Rater_B
T05,P017,3,Rater_B
T06,P018,2,Rater_B
T06,P019,3,Rater_B
T06,P020,3,Rater_B
T07,P021,1,Rater_B
T07,P022,2,Rater_B
T07,P023,4,Rater_B
T07,P024,4,Rater_B
T08,P025,3,Rater_B
T08,P026,1,Rater_B
T08,P027,4,Rater_B
T08,P028,4,Rater_B
